Year,Month,DayofMonth,DayOfWeek,CRSDepTime,CRSArrTime,UniqueCarrier,FlightNum,ArrDelay,DepDelay,Origin,Dest,Distance,depdelayC
2003,1,21,2,1545,1731,UA,1044,-11,-9,BOI,DEN,649,0
2003,1,21,2,730,812,UA,1145,-11,-7,TUL,DEN,541,0
2003,1,12,7,620,949,UA,1146,6,-1,SJC,DEN,948,0
2003,1,1,3,1810,1909,UA,1159,4,-3,DFW,DEN,641,0
2003,1,1,3,1325,1630,UA,1200,-10,-5,ORD,HPN,738,0
2003,1,14,2,1714,1856,UA,1206,-1,1,PHX,DEN,602,0
2003,1,12,7,900,1239,UA,1208,-13,-4,SFO,DEN,967,0
2003,1,21,2,1535,2044,UA,1278,-4,-1,DEN,BWI,1491,0
2003,1,24,5,1600,1801,UA,1282,-7,-5,SFO,SEA,679,0
2003,1,11,6,1330,1541,UA,1444,1,-1,ORD,CMH,296,0
2003,1,1,3,1656,2015,UA,1458,1,-1,OAK,DEN,957,0
2003,1,15,3,2050,2306,UA,1494,-2,-1,ORD,CLE,316,0
2003,1,29,3,1600,1819,UA,1544,-17,-1,ORD,CLE,316,0
2003,1,16,4,745,811,UA,1599,27,27,ICT,DEN,419,1
2003,1,10,5,1231,1500,UA,1627,1,-5,IAH,ORD,925,0
2003,1,5,7,1545,1707,UA,1627,3,17,ORD,MSP,334,1
2003,1,1,3,1900,2238,UA,1632,-6,4,ORD,TPA,1012,0
2003,1,26,7,1845,2223,UA,1632,-9,-4,ORD,TPA,1012,0
2003,1,20,1,1445,1554,UA,1697,-8,-7,IAD,ORD,589,0
2003,1,3,5,845,1015,UA,1761,-16,0,ORD,MSP,334,0
2003,1,2,4,800,925,UA,1939,9,20,DEN,LAX,862,1
2003,1,3,5,1610,1808,US,560,67,88,CLT,BDL,644,1
2003,1,8,3,630,746,US,408,5,-6,PHL,BOS,280,0
2003,1,24,5,1530,1641,US,1910,-8,-4,PHL,BUF,279,0
2003,1,7,2,2000,2133,US,884,4,-1,CLT,CLE,430,0
2003,1,29,3,1625,1914,US,265,-6,-9,ORD,CLT,599,0
2003,1,21,2,600,736,US,549,-4,-3,PHL,CLT,448,0
2003,1,11,6,920,1113,US,714,-1,-5,PBI,CLT,590,0
2003,1,25,6,800,1122,US,790,-13,-13,IAH,CLT,913,0
2003,1,4,6,1245,1329,US,1049,-8,-5,GSO,CLT,83,0
2003,1,24,5,530,748,US,1242,4,20,BOS,CLT,728,1
2003,1,28,2,1215,1316,US,1450,1,-8,SAV,CLT,213,0
2003,1,4,6,615,916,US,1805,6,0,MCI,CLT,809,0
2003,1,9,4,1725,1940,US,576,-12,-7,PBI,DCA,857,0
2003,1,2,4,1805,2000,US,1200,-4,4,MCO,DCA,759,0
2003,1,21,2,1040,1202,US,1472,-16,-2,CLT,DCA,331,0
2003,1,19,7,800,937,US,2725,33,23,BOS,DCA,399,1
2003,1,28,2,1330,1541,US,183,-1,-2,PHL,DEN,1557,0
2003,1,3,5,1400,1504,US,2631,27,-6,BOS,LGA,185,0
2003,1,7,2,2000,2133,US,544,-11,0,CLT,MCI,809,0
2003,1,1,3,1750,2007,US,572,33,57,PHL,MCI,1038,1
2003,1,7,2,1450,1702,US,1568,-17,-8,DCA,MCO,759,0
2003,1,31,5,1800,2056,US,27,23,17,PHL,MIA,1013,1
2003,1,22,3,1400,1654,US,1035,2,-5,PHL,MIA,1013,0
2003,1,7,2,1155,1433,US,1790,4,16,PIT,MIA,1013,1
2003,1,22,3,755,1005,US,997,-2,-3,PHL,MSY,1088,0
2003,1,1,3,920,1100,US,1134,-11,-6,PIT,MSY,918,0
2003,1,26,7,1030,1129,US,834,-17,-8,CLT,MYR,156,0
2003,1,19,7,1350,1519,US,637,3,-1,PHL,ORD,678,0
2003,1,8,3,1630,1800,US,14,-9,-2,BOS,PHL,280,0
2003,1,15,3,2215,611,US,46,-12,-7,LAX,PHL,2401,0
2003,1,10,5,1230,1357,US,541,-1,-4,BOS,PHL,280,0
2003,1,18,6,1530,1705,US,827,3,0,BOS,PHL,280,0
2003,1,7,2,1140,1422,US,1152,91,101,FLL,PHL,992,1
2003,1,2,4,1730,1854,US,1895,-7,-3,RDU,PHL,336,0
2003,1,18,6,830,1044,US,246,-26,-8,MCO,PIT,834,0
